Time (s),time series,Location,Height,Volume (mL),Initials,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,142,,130.24,,137.28,,7.04,49.57746479
300,1,U,14,144,,131.04,,138.43,,7.39,51.31944444
300,1,U,27,144,,134.11,,141.20,,7.09,49.23611111
300,1,D,5,141,,128.13,,136.01,,7.88,55.88652482
300,1,D,14,142,,129.82,,137.20,,7.38,51.97183099
300,1,D,27,140,,129.28,,136.48,,7.20,51.42857143
600,2,U,5,139,,133.34,,140.33,,6.99,50.28776978
600,2,U,14,145,,133.47,,140.52,,7.05,48.62068966
600,2,U,27,146,,132.15,,139.08,,6.93,47.46575342
600,2,D,5,140,,130.87,,138.13,,7.26,51.85714286
600,2,D,14,139,,132.37,,139.77,,7.40,53.23741007
600,2,D,27,140,,131.66,,138.45,,6.79,48.5
900,3,U,5,138,,132.53,,138.94,,6.41,46.44927536
900,3,U,14,142,,129.23,,135.42,,6.19,43.5915493
900,3,U,27,145,,130.79,,137.32,,6.53,45.03448276
900,3,D,5,138,,131.53,,137.81,,6.28,45.50724638
900,3,D,14,142,,130.88,,137.28,,6.40,45.07042254
900,3,D,27,139,,132.89,,139.28,,6.39,45.97122302
1200,4,U,5,138,,132.02,,137.69,,5.67,41.08695652
1200,4,U,14,143,,132.89,,138.39,,5.50,38.46153846
1200,4,U,27,143,,129.76,,135.58,,5.82,40.6993007
1200,4,D,5,141,,131.42,,137.24,,5.82,41.27659574
1200,4,D,14,142,,131.83,,137.82,,5.99,42.18309859
1200,4,D,27,142,,131.87,,137.71,,5.84,41.12676056
1500,5,U,5,142,,131.90,,137.36,,5.46,38.45070423
1500,5,U,14,141,,128.61,,133.86,,5.25,37.23404255
1500,5,U,27,141,,131.54,,137.00,,5.46,38.72340426
1500,5,D,5,140,,131.32,,136.83,,5.51,39.35714286
1500,5,D,14,141,,132.38,,137.87,,5.49,38.93617021
1500,5,D,27,141,,131.72,,137.12,,5.40,38.29787234
1800,6,U,5,142,,131.19,,136.25,,5.06,35.63380282
1800,6,U,14,142,,129.88,,134.74,,4.86,34.22535211
1800,6,U,27,142,,131.16,,136.09,,4.93,34.71830986
1800,6,D,5,138,,133.18,,138.03,,4.85,35.14492754
1800,6,D,14,136,,132.52,,137.49,,4.97,36.54411765
1800,6,D,27,131,,131.51,,135.95,,4.44,33.89312977
2100,7,U,5,140,,132.85,,137.25,,4.40,31.42857143
2100,7,U,14,143,,131.66,,136.40,,4.74,33.14685315
2100,7,U,27,145,,129.31,,134.12,,4.81,33.17241379
2100,7,D,5,143,,130.46,,135.15,,4.69,32.7972028
2100,7,D,14,141,,129.56,,134.38,,4.82,34.18439716
2100,7,D,27,141,,131.01,,135.54,,4.53,32.12765957
2400,8,U,5,138,,131.18,,135.59,,4.41,31.95652174
2400,8,U,14,141,,134.77,,139.39,,4.62,32.76595745
2400,8,U,27,143,,132.75,,137.28,,4.53,31.67832168
2400,8,D,5,142,,127.72,,132.29,,4.57,32.18309859
2400,8,D,14,140,,130.18,,134.73,,4.55,32.5
2400,8,D,27,141,,127.38,,131.94,,4.56,32.34042553
2700,9,U,5,142,,131.00,,135.33,,4.33,30.49295775
2700,9,U,14,143,,132.75,,137.02,,4.27,29.86013986
2700,9,U,27,144,,129.91,,134.37,,4.46,30.97222222
2700,9,D,5,138,,130.07,,134.56,,4.49,32.53623188
2700,9,D,14,141,,131.61,,135.85,,4.24,30.07092199
2700,9,D,27,140,,131.50,,135.89,,4.39,31.35714286
3000,10,U,5,139,,130.95,,135.09,,4.14,29.78417266
3000,10,U,14,139,,131.79,,136.11,,4.32,31.07913669
3000,10,U,27,140,,133.32,,137.46,,4.14,29.57142857
3000,10,D,5,139,,131.69,,135.80,,4.11,29.56834532
3000,10,D,14,142,,130.34,,134.60,,4.26,30
3000,10,D,27,141,,132.36,,136.45,,4.09,29.0070922
3300,11,U,5,141,,131.90,,135.98,,4.08,28.93617021
3300,11,U,14,142,,133.62,,137.62,,4.00,28.16901408
3300,11,U,27,141,,132.83,,136.77,,3.94,27.94326241
3300,11,D,5,136,,132.37,,136.25,,3.88,28.52941176
3300,11,D,14,141,,132.29,,136.31,,4.02,28.5106383
3300,11,D,27,139,,128.30,,132.21,,3.91,28.1294964
3600,12,U,5,138,,133.45,,136.77,,3.32,24.05797101
3600,12,U,14,138,,132.32,,136.04,,3.72,26.95652174
3600,12,U,27,136,,129.50,,133.30,,3.80,27.94117647
3600,12,D,5,139,,131.74,,135.55,,3.81,27.41007194
3600,12,D,14,133,,132.81,,136.49,,3.68,27.66917293
3600,12,D,27,131,,133.42,,136.88,,3.46,26.41221374
3900,13,U,5,139,,133.36,,137.13,,3.77,27.12230216
3900,13,U,14,139,,132.06,,135.55,,3.49,25.10791367
3900,13,U,27,141,,132.06,,135.66,,3.60,25.53191489
3900,13,D,5,132,,131.67,,135.06,,3.39,25.68181818
3900,13,D,14,141,,134.55,,138.24,,3.69,26.17021277
3900,13,D,27,129,,133.40,,136.64,,3.24,25.11627907
4200,14,U,5,137,,134.41,,137.64,,3.23,23.57664234
4200,14,U,14,136,,132.25,,135.66,,3.41,25.07352941
4200,14,U,27,141,,127.69,,130.94,,3.25,23.04964539
4200,14,D,5,143,,134.22,,137.72,,3.50,24.47552448
4200,14,D,14,139,,130.74,,134.55,,3.81,27.41007194
4200,14,D,27,142,,133.23,,136.82,,3.59,25.28169014
4500,15,U,5,140,,132.91,,136.22,,3.31,23.64285714
4500,15,U,14,142,,130.70,,133.91,,3.21,22.6056338
4500,15,U,27,142,,131.08,,134.48,,3.40,23.94366197
4500,15,D,5,137,,130.38,,133.63,,3.25,23.72262774
4500,15,D,14,135,,131.47,,134.63,,3.16,23.40740741
4500,15,D,27,133,,130.65,,133.77,,3.12,23.45864662
4800,16,U,5,137,,129.77,,132.77,,3.00,21.89781022
4800,16,U,14,141,,134.28,,137.50,,3.22,22.83687943
4800,16,U,27,142,,134.47,,137.59,,3.12,21.97183099
4800,16,D,5,140,,132.55,,135.88,,3.33,23.78571429
4800,16,D,14,143,,129.85,,133.16,,3.31,23.14685315
4800,16,D,27,136,,131.11,,134.14,,3.03,22.27941176
5100,17,U,5,136,,130.17,,133.23,,3.06,22.5
5100,17,U,14,135,,134.83,,137.91,,3.08,22.81481481
5100,17,U,27,141,,130.26,,133.42,,3.16,22.41134752
5100,17,D,5,136,,128.99,,132.09,,3.10,22.79411765
5100,17,D,14,137,,131.83,,134.97,,3.14,22.91970803
5100,17,D,27,129,,132.68,,135.60,,2.92,22.63565891
5400,18,U,5,138,,133.64,,136.54,,2.90,21.01449275
5400,18,U,14,140,,132.44,,135.45,,3.01,21.5
5400,18,U,27,141,,132.13,,135.18,,3.05,21.63120567
5400,18,D,5,132,,130.80,,133.69,,2.89,21.89393939
5400,18,D,14,133,,132.16,,135.00,,2.84,21.35338346
5400,18,D,27,130,,129.38,,132.21,,2.83,21.76923077
5700,19,U,5,139,,131.00,,133.81,,2.81,20.21582734
5700,19,U,14,140,,129.51,,132.47,,2.96,21.14285714
5700,19,U,27,141,,131.14,,133.98,,2.84,20.14184397
5700,19,D,5,132,,129.29,,132.10,,2.81,21.28787879
5700,19,D,14,133,,130.15,,133.00,,2.85,21.42857143
5700,19,D,27,127,,131.51,,134.18,,2.67,21.02362205
